Hand Starting Value,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,TOTAL
Wins,199,429,622,854,1179,1594,2013,2578,3012,2949,2710,2587,2312,2076,2752,3493,7470,4851,43680
Losses,307,700,995,1378,1571,1703,1621,1799,5815,5979,5628,5341,5024,3969,2721,1745,1229,0,47525
Ties,44,88,126,245,256,368,470,494,557,456,436,359,334,955,870,814,1923,0,8795
$ for flat bet:,-7097.5
$ for random bet:,-15305.5
$ for card count bet:,10572.5
# of times big bet game played:,6734
