Hand Starting Value,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,TOTAL
Wins,208,438,626,838,1142,1503,2086,2407,3028,2906,2704,2382,2187,2138,2744,3377,7409,4674,42797
Losses,326,706,1020,1290,1494,1600,1636,1764,5963,6000,5888,5660,5196,3987,2888,1749,1243,0,48410
Ties,38,94,126,224,282,352,470,466,559,490,449,383,317,971,936,772,1864,0,8793
$ for flat bet:,-16380.0
$ for random bet:,-40629.5
$ for card count bet:,-23030.0
