Hand Starting Value,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,TOTAL
Wins,246,398,656,778,1126,1478,2081,2725,3047,3171,2719,2519,2261,2148,2692,3364,7386,4791,43586
Losses,306,692,1021,1329,1474,1628,1605,1730,5790,5816,5725,5351,5084,4000,2848,1852,1293,0,47544
Ties,41,98,135,240,305,366,482,485,515,453,425,391,335,1022,898,785,1894,0,8870
$ for flat bet:,-7812.5
$ for random bet:,-19107.5
$ for card count bet:,12755.0
# of times big bet game played:,6835
