Hand Starting Value,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,TOTAL
Two Card Wins,148,317,522,670,847,973,1115,1299,2699,2665,2514,2325,2132,2019,2814,3307,7437,4785,38588
Two Card Losses,412,863,1209,1697,2083,2567,2927,3404,6764,6844,6256,5945,5579,4060,2941,1931,1266,0,56748
Two Card Ties,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,921,806,1903,0,4664
Three Card Wins,0,0,0,33,186,483,852,1204,1026,1099,921,923,872,833,736,586,701,1120,11575
Three Card Losses,560,1180,1713,2207,2530,2776,2832,3097,7903,7904,7382,6876,6428,5899,5618,5226,9696,3281,83108
Three Card Ties,0,0,18,127,214,281,358,402,534,506,467,471,411,381,322,232,209,384,5317
Second Hand Wins,0,0,0,33,186,483,852,1204,3015,3597,3793,4198,4478,4551,4605,4323,8820,1380,45518
Second Hand Losses,560,1180,1713,2207,2530,2776,2832,3097,5722,5181,4280,3391,2641,2075,1641,1397,1388,2988,47599
Second Hand Ties,0,0,18,127,214,281,358,402,726,731,697,681,592,487,430,324,398,417,6883
Final money for two card bets:,-78837.5,,Final money for three card bets:,-357665,,Final money for table bets:,-10405
